Publisher Name,Publisher Registry Id,Activities,Organisations,Files,Activity Files,Organisation Files,Total File Size,Reporting Org on Registry,Reporting Orgs in Data (count),Reporting Orgs in Data,Hierarchies (count),Hierarchies
CARE Danmark Fonden for Frivillig Ulandsbistand,12921047,12,0,1,1,0,43752,DK-CVR-12921047,1,DK-CVR-12921047,1,1
University Of Zimbabwe,1-uz,1,1,2,1,1,3663,XI-GRID-grid.13001.33,1,XI-GRID-grid.13001.33,1,1
Koepel van de Vlaamse Noord-Zuidbeweging 11.11.11 VZW,111111_publisher,18,1,2,1,1,518901,BE-BCE_KBO-0421210424,1,BE-BCE_KBO-0421210424,2,1;2
International Initiative for Impact Evaluation,3ie,6,0,6,6,0,186557,US-EIN-262681792,1,US-EIN-262681792,1,null
7iber Media Consulting,7iberdotcom,1,1,2,1,1,21279,JO-CCD-58307,1,JO-CCD-58307,1,1
Acid Survivors Foundation,_admin,2,0,1,1,0,7969,PK-VSWA-511-2007,2,PK-VSWA-511-2007;XI-IATI-VSWA-511-2007,1,1
PATH,_path_,5,0,2,2,0,114638,US-EIN-91-1157127,1,US-EIN-91-1157127,1,1
Autre Terre asbl,a-t,7,1,2,1,1,165014,BE-BCE_KBO-0423588904,1,BE-BCE_KBO-0423588904,2,1;2
ActionAid Bangladesh,aab,9,1,2,1,1,112684,BD-NAB-0210,1,BD-NAB-0210,1,1
ActionAid Denmark (Mellemfolkeligt Samvirke),aadk,15,1,13,12,1,320667,DK-CVR-18243717,1,DK-CVR-18243717,1,1
ActionAid Ghana,aag,1,1,2,1,1,99670,GH-DSW-3064,1,GH-DSW-3064,1,1
Action Against Hunger USA,aahusa,2,0,1,1,0,22550,US-EIN-13-3327220,1,US-EIN-13-3327220,1,1
ActionAid International,aai,1,0,1,1,0,17231,NL-KVK-27264198,1,NL-KVK-27264198,1,1
ACTIONAID INTERNATIONAL KENYA,aaik,7,1,2,1,1,161469,KE-NCB-OP/218/051/924/84,1,KE-NCB-OP/218/051/924/84,1,1
ActionAid International Nepal,aain,1,0,1,1,0,5660,NP-IRD-301131441,1,NP-IRD-301131441,1,1
Allergy and Asthma Institute Pakistan,aaip,3,0,1,1,0,5713,PK-NTN-6110190392611,1,PK-NTN-6110190392611,1,1
Agulhas Applied Knowledge,aak,1,1,2,1,1,7423,GB-COH-04644326,1,GB-COH-04644326,1,1
Stichting ActionAId,aanl,5,1,2,1,1,1005933,NL-KVK-41217595,1,NL-KVK-41217595,1,1
ActionAid Rwanda,aar,3,1,2,1,1,140122,RW-RGB-61-RGB-NGO-2017,1,RW-RGB-61-RGB-NGO-2017,1,1
African Academy of Sciences,aas,1,1,2,1,1,4076,KE-NCB-218-051-9341-334,1,KE-NCB-OP-218-051-9341-334,1,1
Aasaman Nepal,aasaman,1,0,1,1,0,3762,NP-SWC-27693,1,NP-SWC-27693,1,null
ActionAid UK,aauk,99,1,2,1,1,872999,GB-CHC-274467,1,GB-CHC-274467,1,1
Abaseen Foundation UK,abaseen,1,1,2,1,1,17864,GB-CHC-1157009,1,GB-CHC-1157009,1,1
Able Child Africa,ablechildafrica,2,1,2,1,1,79341,GB-CHC-326859,1,GB-CHC-326859,1,1
Abt Associates Inc,abt,6,0,1,1,0,209380,US-EIN-042347643,1,US-EIN-042347643,1,1
Abt Britain Limited,abtbritain,5,1,2,1,1,93208,GB-COH-10633588,1,GB-COH-10633588,1,1
Advance Consulting,ac1999,1,1,2,1,1,9156,NL-KVK-09108013,1,NL-KVK-09108013,1,1
Afghanistan and Central Asian Association,acaa,1,1,2,1,1,17489,GB-CHC-1096908,1,GB-CHC-1096908,1,1
Association Centrafricaine de Traduction de la Bible et Alphabetisation,acatba,1,1,2,1,1,2645,XI-IATI-ACATBA,1,XI-IATI-ACATBA,1,1
Accelerator Nepal,acceleratornepal,1,0,1,1,0,9458,NP-SWC-46024,1,NP-SWC-46024,1,1
Accountable Now,accountablenow,1,0,1,1,0,4611,GB-CHC-1173827,1,GB-CHC-1173827,1,1
African Center for Economic Transformation (ACET),acet,55,1,2,1,1,727760,US-EIN-11-3803281,1,US-EIN-11-3803281,1,1
Action Against Hunger UK,acf,100,1,39,38,1,502074,GB-CHC-1047501,1,GB-CHC-1047501,1,1
Action Contre la Faim,acf-fr,2,1,3,2,1,8597,FR-RCS-31899089200065,1,FR-RCS-31899089200065,1,1
Action Canada for Sexual Health and Rights,acfshr,2,1,2,1,1,39137,CA-CRA_ACR-107848319,1,CA-CRA_ACR-10784-8319-RR0001,1,1
ACTION AGAINST HUNGER SPAIN,acfspain,14,0,7,7,0,44340,ES-CIF-G81164105,1,ES-CIF-G81164105,1,1
