Publisher Name,Publisher Registry Id,Contacts (with valid data),Location Details (with valid data),Geographic Coordinates (with valid data),DAC Sectors (with valid data),Capital Spend (with valid data),Activity Documents (with valid data),Aid Type (with valid data),Recipient Language (with valid data),Result/ Indicator (with valid data),Average (with valid data),Contacts (with any data),Location Details (with any data),Geographic Coordinates (with any data),DAC Sectors (with any data),Capital Spend (with any data),Activity Documents (with any data),Aid Type (with any data),Recipient Language (with any data),Result/ Indicator (with any data),Average (with any data)
50 Eight Limited,fifty_eight,100,0,0,100,100,0,100,-,0,44,100,0,0,100,100,0,100,-,0,44
7iber Media Consulting,7iberdotcom,100,0,0,100,0,0,100,0,100,44,100,0,0,100,0,0,100,0,100,44
Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),ask,100,0,0,0,0,0,50,0,0,17,100,0,0,0,0,0,50,0,0,17
Aasaman Nepal,aasaman,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
ABAAD - Resource Center for Gender Equality,arcfge,17,0,0,100,0,17,0,0,83,24,17,0,0,100,0,17,0,0,83,24
Abaseen Foundation UK,abaseen,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Abdul Latif Jameel Poverty Action Lab at MIT,jpal,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Able Child Africa,ablechildafrica,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Abt Associates Inc,abt,0,50,0,100,0,0,100,0,0,28,0,50,0,100,0,0,100,0,0,28
Abt Britain Limited,abtbritain,100,100,0,100,0,0,100,33,0,48,100,100,0,100,0,0,100,33,0,48
Academy for Health Development (AHEAD),ahead,100,0,0,0,0,0,0,100,0,22,100,0,0,0,0,0,0,100,0,22
Académie de recherche et d'enseignement supérieur,ares,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Accelerator Nepal,acceleratornepal,100,0,0,100,0,0,0,0,0,22,100,0,0,100,0,0,0,0,0,22
Access to Medicine Foundation,atmf,0,0,0,100,0,100,0,0,100,33,0,0,0,100,0,100,0,0,100,33
Access to Seeds Foundation,atsf,0,0,0,100,0,92,0,0,0,21,0,0,0,100,0,92,0,0,0,21
Accountability Lab,alab,0,0,0,100,0,100,0,50,100,39,0,0,0,100,0,100,0,50,100,39
Accountable Now,accountablenow,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Acid Survivors Foundation,_admin,0,0,0,0,0,100,0,100,0,22,0,0,0,0,0,100,0,100,0,22
ACODEV,acodev,100,83,83,100,0,17,100,100,67,72,100,83,83,100,0,17,100,100,67,72
Across,across,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
ACT Alliance,act_alliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
act4africa,act4africa,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
ACTED,acted,75,0,0,50,0,50,0,25,50,28,75,0,0,50,0,50,0,25,50,28
ACTION AGAINST HUNGER SPAIN,acfspain,0,0,0,100,0,0,0,0,50,17,0,0,0,100,0,0,0,0,50,17
Action Against Hunger UK,acf,30,3,0,100,0,12,0,40,0,21,30,3,0,100,0,12,0,40,0,21
Action Against Hunger USA,aahusa,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Action Canada for Sexual Health and Rights,acfshr,100,0,0,100,0,100,100,0,100,56,100,0,0,100,0,100,100,0,100,56
Action Contre la Faim,acf-fr,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
ActionAid Bangladesh,aab,100,0,0,100,0,0,0,0,0,22,100,0,0,100,0,0,100,0,0,33
ActionAid Denmark (Mellemfolkeligt Samvirke),aadk,100,0,0,100,0,100,100,-,0,44,100,0,0,100,0,100,100,-,0,44
ActionAid Ghana,aag,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
ActionAid International,aai,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
ACTIONAID INTERNATIONAL KENYA,aaik,100,0,0,100,0,0,100,100,0,44,100,0,0,100,0,0,100,100,0,44
ActionAid International Nepal,aain,100,0,0,0,0,0,0,0,0,11,100,0,0,0,0,0,0,0,0,11
ActionAid Rwanda,aar,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
ActionAid UK,aauk,62,6,0,100,0,0,57,42,0,30,62,6,0,100,0,0,100,42,0,34
